"Waveform Data"
"Item","V1","A1","V2","A2","V3","A3"
65,-526.99E+0,1.2622E+0,1.7118E+3,-1.0827E+0,-263.78E+0,-121.69E-3
66,-527.67E+0,1.2234E+0,1.7118E+3,-1.0999E+0,-276.43E+0,-180.36E-3
67,-522.55E+0,1.3214E+0,1.7118E+3,-1.0632E+0,-277.60E+0,-191.93E-3
68,-526.07E+0,1.2695E+0,1.7118E+3,-1.0794E+0,-292.40E+0,-256.19E-3
69,-516.51E+0,1.3642E+0,1.7118E+3,-1.0557E+0,-295.36E+0,-267.14E-3
70,-521.26E+0,1.3254E+0,1.7118E+3,-1.0611E+0,-304.73E+0,-308.46E-3
71,-509.91E+0,1.3959E+0,1.7118E+3,-1.0487E+0,-307.76E+0,-316.72E-3
72,-515.65E+0,1.3688E+0,1.7118E+3,-1.0578E+0,-314.60E+0,-343.37E-3
73,-501.04E+0,1.4060E+0,1.7118E+3,-1.0389E+0,-316.76E+0,-351.43E-3
74,-507.82E+0,1.3991E+0,1.7118E+3,-1.0458E+0,-325.46E+0,-369.40E-3
75,-494.07E+0,1.4114E+0,1.7118E+3,-1.0128E+0,-327.37E+0,-374.36E-3
76,-500.42E+0,1.4020E+0,1.7118E+3,-1.0323E+0,-334.83E+0,-391.10E-3
77,-487.53E+0,1.4020E+0,1.7118E+3,-978.12E-3,-335.69E+0,-400.19E-3
78,-492.65E+0,1.3934E+0,1.7118E+3,-1.0016E+0,-343.16E+0,-413.41E-3
79,-481.62E+0,1.3909E+0,1.7118E+3,-938.91E-3,-345.69E+0,-420.64E-3
80,-486.61E+0,1.3872E+0,1.7118E+3,-972.52E-3,-352.59E+0,-451.63E-3
81,-474.90E+0,1.4016E+0,1.7118E+3,-894.92E-3,-355.00E+0,-457.83E-3
82,-480.32E+0,1.3928E+0,1.7118E+3,-934.13E-3,-363.26E+0,-508.24E-3
83,-469.29E+0,1.4226E+0,1.7118E+3,-858.61E-3,-365.24E+0,-518.16E-3
84,-473.54E+0,1.4057E+0,1.7118E+3,-888.49E-3,-373.01E+0,-570.02E-3
85,-463.43E+0,1.4393E+0,1.7118E+3,-827.69E-3,-374.06E+0,-578.49E-3
86,-468.42E+0,1.4293E+0,1.7118E+3,-850.31E-3,-381.03E+0,-614.85E-3
87,-458.68E+0,1.4544E+0,1.7118E+3,-800.92E-3,-383.12E+0,-621.25E-3
88,-463.37E+0,1.4400E+0,1.7118E+3,-823.13E-3,-390.40E+0,-651.42E-3
89,-453.01E+0,1.4569E+0,1.7118E+3,-790.76E-3,-391.76E+0,-654.52E-3
90,-457.14E+0,1.4519E+0,1.7118E+3,-800.51E-3,-400.39E+0,-666.91E-3
91,-447.03E+0,1.4560E+0,1.7118E+3,-776.23E-3,-401.81E+0,-664.64E-3
92,-452.02E+0,1.4393E+0,1.7118E+3,-790.96E-3,-408.78E+0,-667.32E-3
93,-440.25E+0,1.4364E+0,1.7118E+3,-758.80E-3,-410.75E+0,-666.08E-3
94,-445.24E+0,1.4251E+0,1.7118E+3,-775.20E-3,-417.66E+0,-669.18E-3
95,-433.04E+0,1.4212E+0,1.7118E+3,-720.83E-3,-420.13E+0,-672.08E-3
96,-439.32E+0,1.3984E+0,1.7118E+3,-752.99E-3,-428.70E+0,-681.99E-3
97,-425.21E+0,1.3945E+0,1.7118E+3,-683.90E-3,-430.49E+0,-681.17E-3
98,-430.01E+0,1.3853E+0,1.7118E+3,-714.40E-3,-438.38E+0,-697.70E-3
99,-417.50E+0,1.3845E+0,1.7118E+3,-644.68E-3,-439.31E+0,-704.31E-3
100,-422.99E+0,1.3726E+0,1.7118E+3,-680.79E-3,-445.60E+0,-729.10E-3
101,-408.93E+0,1.3772E+0,1.7118E+3,-612.94E-3,-447.14E+0,-733.02E-3
102,-415.83E+0,1.3692E+0,1.7118E+3,-642.19E-3,-453.49E+0,-766.29E-3
103,-399.81E+0,1.3807E+0,1.7118E+3,-570.81E-3,-455.53E+0,-779.51E-3
104,-407.26E+0,1.3792E+0,1.7118E+3,-602.98E-3,-461.33E+0,-814.84E-3
105,-390.87E+0,1.3826E+0,1.7118E+3,-528.90E-3,-462.56E+0,-823.31E-3
106,-398.26E+0,1.3780E+0,1.7118E+3,-560.44E-3,-468.73E+0,-854.71E-3
107,-380.14E+0,1.3792E+0,1.7118E+3,-495.29E-3,-470.45E+0,-857.81E-3
108,-389.88E+0,1.3657E+0,1.7118E+3,-516.87E-3,-476.68E+0,-877.03E-3
109,-371.88E+0,1.3567E+0,1.7118E+3,-459.18E-3,-477.24E+0,-874.75E-3
110,-379.09E+0,1.3411E+0,1.7118E+3,-488.65E-3,-483.96E+0,-878.68E-3
111,-363.25E+0,1.3352E+0,1.7118E+3,-432.21E-3,-485.26E+0,-876.20E-3
112,-370.64E+0,1.3112E+0,1.7118E+3,-457.11E-3,-489.70E+0,-882.81E-3
113,-353.94E+0,1.3037E+0,1.7118E+3,-388.01E-3,-490.74E+0,-882.81E-3
114,-360.66E+0,1.2833E+0,1.7118E+3,-428.06E-3,-495.62E+0,-898.31E-3
115,-345.18E+0,1.2818E+0,1.7118E+3,-341.12E-3,-497.16E+0,-900.78E-3
116,-352.40E+0,1.2597E+0,1.7118E+3,-380.75E-3,-501.35E+0,-919.17E-3
117,-336.12E+0,1.2607E+0,1.7118E+3,-291.74E-3,-502.89E+0,-927.85E-3
118,-344.07E+0,1.2488E+0,1.7118E+3,-333.23E-3,-506.10E+0,-953.06E-3
119,-327.55E+0,1.2459E+0,1.7118E+3,-249.20E-3,-507.70E+0,-964.83E-3
120,-335.20E+0,1.2367E+0,1.7118E+3,-284.27E-3,-511.90E+0,-991.69E-3
121,-316.27E+0,1.2397E+0,1.7118E+3,-191.10E-3,-513.87E+0,-1.0026E+0
122,-325.76E+0,1.2317E+0,1.7118E+3,-237.99E-3,-517.82E+0,-1.0431E+0
123,-306.53E+0,1.2273E+0,1.7118E+3,-146.49E-3,-519.36E+0,-1.0514E+0
124,-314.48E+0,1.2140E+0,1.7118E+3,-178.24E-3,-522.38E+0,-1.0719E+0
125,-297.16E+0,1.2125E+0,1.7118E+3,-103.33E-3,-523.62E+0,-1.0799E+0
126,-304.74E+0,1.1990E+0,1.7118E+3,-138.40E-3,-526.52E+0,-1.1008E+0
127,-286.31E+0,1.1931E+0,1.7118E+3,-52.703E-3,-526.58E+0,-1.1039E+0
128,-295.68E+0,1.1672E+0,1.7118E+3,-91.090E-3,-529.66E+0,-1.1163E+0
129,-273.05E+0,1.1620E+0,1.7118E+3,11.620E-3,-529.66E+0,-1.1274E+0
130,-283.84E+0,1.1374E+0,1.7118E+3,-38.801E-3,-530.65E+0,-1.1522E+0
131,-256.28E+0,1.1305E+0,1.7118E+3,87.355E-3,-526.52E+0,-1.1607E+0
132,-270.59E+0,1.0988E+0,1.7118E+3,25.522E-3,-528.92E+0,-1.1942E+0
133,-235.07E+0,1.0948E+0,1.7118E+3,164.33E-3,-520.10E+0,-1.2002E+0
134,-252.15E+0,1.0704E+0,1.7118E+3,107.27E-3,-524.85E+0,-1.2307E+0
135,-208.19E+0,1.0590E+0,1.7118E+3,236.96E-3,-509.25E+0,-1.2380E+0
136,-230.64E+0,1.0335E+0,1.7118E+3,177.20E-3,-517.02E+0,-1.2714E+0
137,-188.28E+0,1.0279E+0,1.7118E+3,276.38E-3,-499.93E+0,-1.2739E+0
138,-204.19E+0,1.0080E+0,1.7118E+3,250.03E-3,-506.47E+0,-1.2838E+0
139,-169.42E+0,1.0030E+0,1.7118E+3,304.19E-3,-492.84E+0,-1.2859E+0
140,-184.46E+0,991.14E-3,1.7118E+3,281.57E-3,-498.08E+0,-1.2927E+0
141,-155.11E+0,986.55E-3,1.7118E+3,321.41E-3,-488.03E+0,-1.2849E+0
142,-165.53E+0,959.00E-3,1.7118E+3,310.00E-3,-491.48E+0,-1.2911E+0
143,-142.78E+0,956.29E-3,1.7118E+3,339.67E-3,-483.78E+0,-1.2762E+0
144,-152.03E+0,936.26E-3,1.7118E+3,324.52E-3,-487.11E+0,-1.2842E+0
145,-131.93E+0,928.75E-3,1.7118E+3,359.79E-3,-480.38E+0,-1.2636E+0
146,-140.26E+0,904.96E-3,1.7118E+3,344.85E-3,-482.91E+0,-1.2758E+0
147,-118.68E+0,890.77E-3,1.7118E+3,410.01E-3,-476.07E+0,-1.2603E+0
148,-130.02E+0,858.64E-3,1.7118E+3,366.23E-3,-480.69E+0,-1.2704E+0
149,-106.29E+0,855.72E-3,1.7118E+3,464.16E-3,-471.93E+0,-1.2702E+0
150,-115.72E+0,822.33E-3,1.7118E+3,422.04E-3,-475.94E+0,-1.2911E+0
151,-93.956E+0,815.03E-3,1.7118E+3,526.41E-3,-466.69E+0,-1.2960E+0
152,-103.88E+0,788.74E-3,1.7118E+3,478.27E-3,-470.95E+0,-1.3150E+0
153,-77.372E+0,783.31E-3,1.7118E+3,578.28E-3,-459.78E+0,-1.3189E+0
154,-89.764E+0,753.47E-3,1.7118E+3,538.86E-3,-465.52E+0,-1.3324E+0
155,-60.973E+0,749.30E-3,1.7118E+3,610.45E-3,-452.32E+0,-1.3328E+0
156,-74.412E+0,726.35E-3,1.7118E+3,581.60E-3,-459.04E+0,-1.3384E+0
157,-43.156E+0,724.26E-3,1.7118E+3,618.33E-3,-446.09E+0,-1.3307E+0
158,-57.150E+0,710.07E-3,1.7118E+3,607.75E-3,-451.70E+0,-1.3346E+0
159,-26.880E+0,708.19E-3,1.7118E+3,623.10E-3,-438.44E+0,-1.3158E+0
160,-40.320E+0,693.38E-3,1.7118E+3,616.26E-3,-444.30E+0,-1.3278E+0
161,-7.5830E+0,689.41E-3,1.7118E+3,622.69E-3,-428.70E+0,-1.2977E+0
162,-23.427E+0,671.68E-3,1.7118E+3,615.63E-3,-436.47E+0,-1.3123E+0
163,8.6928E+0,670.43E-3,1.7118E+3,636.80E-3,-421.61E+0,-1.2826E+0
164,-3.2675E+0,642.05E-3,1.7118E+3,626.42E-3,-427.71E+0,-1.2948E+0
165,24.167E+0,634.12E-3,1.7118E+3,667.92E-3,-414.33E+0,-1.2766E+0
166,12.330E+0,612.00E-3,1.7118E+3,644.89E-3,-420.13E+0,-1.2803E+0
167,38.717E+0,603.86E-3,1.7118E+3,695.73E-3,-407.42E+0,-1.2760E+0
168,26.387E+0,582.37E-3,1.7118E+3,673.73E-3,-413.34E+0,-1.2799E+0
169,52.588E+0,570.69E-3,1.7118E+3,744.69E-3,-401.01E+0,-1.2807E+0
170,41.491E+0,540.43E-3,1.7118E+3,706.10E-3,-406.31E+0,-1.2875E+0
171,67.816E+0,534.80E-3,1.7118E+3,788.06E-3,-394.04E+0,-1.2873E+0
172,56.349E+0,502.66E-3,1.7118E+3,754.03E-3,-399.59E+0,-1.2931E+0
173,83.537E+0,491.81E-3,1.7118E+3,831.01E-3,-385.59E+0,-1.2908E+0
174,71.268E+0,461.97E-3,1.7118E+3,797.81E-3,-392.50E+0,-1.2919E+0
175,102.28E+0,452.17E-3,1.7118E+3,849.27E-3,-374.98E+0,-1.2768E+0
176,86.866E+0,422.75E-3,1.7118E+3,837.65E-3,-383.99E+0,-1.2919E+0
177,120.03E+0,418.99E-3,1.7118E+3,857.98E-3,-366.35E+0,-1.2549E+0
178,106.78E+0,396.87E-3,1.7118E+3,849.48E-3,-373.25E+0,-1.2716E+0
179,136.31E+0,392.28E-3,1.7118E+3,866.08E-3,-355.99E+0,-1.2349E+0
180,123.12E+0,362.86E-3,1.7118E+3,857.57E-3,-363.45E+0,-1.2479E+0
181,152.77E+0,357.85E-3,1.7118E+3,886.62E-3,-346.98E+0,-1.2179E+0
182,139.76E+0,328.64E-3,1.7118E+3,864.42E-3,-354.01E+0,-1.2282E+0
183,167.94E+0,317.79E-3,1.7118E+3,919.20E-3,-336.62E+0,-1.2068E+0
184,155.61E+0,288.37E-3,1.7118E+3,892.22E-3,-344.14E+0,-1.2111E+0
185,183.23E+0,275.85E-3,1.7118E+3,960.69E-3,-328.42E+0,-1.2035E+0
186,170.40E+0,245.59E-3,1.7118E+3,925.01E-3,-335.02E+0,-1.2078E+0
187,197.41E+0,233.49E-3,1.7118E+3,1.0055E+0,-318.73E+0,-1.1999E+0
188,185.63E+0,193.01E-3,1.7118E+3,966.09E-3,-325.15E+0,-1.2033E+0
189,215.04E+0,186.96E-3,1.7118E+3,1.0534E+0,-306.52E+0,-1.1952E+0
190,199.50E+0,140.85E-3,1.7118E+3,1.0169E+0,-316.33E+0,-1.2024E+0
191,228.54E+0,136.46E-3,1.7118E+3,1.0883E+0,-296.78E+0,-1.1826E+0
192,216.46E+0,99.114E-3,1.7118E+3,1.0597E+0,-305.54E+0,-1.1935E+0
193,244.32E+0,87.220E-3,1.7118E+3,1.1049E+0,-286.42E+0,-1.1619E+0
194,231.13E+0,51.330E-3,1.7118E+3,1.0914E+0,-294.93E+0,-1.1803E+0
195,259.24E+0,47.366E-3,1.7118E+3,1.1269E+0,-275.07E+0,-1.1363E+0
196,246.48E+0,8.7637E-3,1.7118E+3,1.1074E+0,-284.44E+0,-1.1586E+0
197,273.98E+0,-9.8070E-3,1.7118E+3,1.1624E+0,-261.25E+0,-1.0977E+0
198,262.57E+0,-63.641E-3,1.7118E+3,1.1360E+0,-271.80E+0,-1.1254E+0
199,289.14E+0,-76.370E-3,1.7118E+3,1.2080E+0,-246.33E+0,-1.0688E+0
200,277.31E+0,-136.26E-3,1.7118E+3,1.1707E+0,-258.60E+0,-1.0923E+0
201,304.80E+0,-153.99E-3,1.7118E+3,1.2645E+0,-225.79E+0,-1.0365E+0
202,291.73E+0,-236.41E-3,1.7118E+3,1.2180E+0,-243.49E+0,-1.0630E+0
203,316.27E+0,-240.59E-3,1.7118E+3,1.3101E+0,-208.09E+0,-1.0157E+0
204,307.08E+0,-291.50E-3,1.7118E+3,1.2788E+0,-223.08E+0,-1.0320E+0
205,326.50E+0,-304.23E-3,1.7118E+3,1.3390E+0,-190.20E+0,-998.51E-3
206,317.87E+0,-340.53E-3,1.7118E+3,1.3151E+0,-205.25E+0,-1.0117E+0
207,333.41E+0,-351.80E-3,1.7118E+3,1.3545E+0,-173.43E+0,-980.33E-3
208,327.67E+0,-378.93E-3,1.7118E+3,1.3456E+0,-187.80E+0,-995.20E-3
209,341.48E+0,-381.64E-3,1.7118E+3,1.3572E+0,-156.34E+0,-962.15E-3
210,336.00E+0,-396.66E-3,1.7118E+3,1.3543E+0,-170.41E+0,-975.78E-3
211,348.20E+0,-400.21E-3,1.7118E+3,1.3520E+0,-140.93E+0,-930.74E-3
212,343.02E+0,-410.23E-3,1.7118E+3,1.3408E+0,-153.26E+0,-953.88E-3
213,354.92E+0,-414.40E-3,1.7118E+3,1.3377E+0,-124.15E+0,-902.02E-3
214,349.93E+0,-425.67E-3,1.7118E+3,1.3244E+0,-137.84E+0,-924.54E-3
215,363.06E+0,-427.75E-3,1.7118E+3,1.3224E+0,-107.13E+0,-852.03E-3
216,355.72E+0,-471.15E-3,1.7118E+3,1.3176E+0,-122.36E+0,-891.90E-3
217,370.89E+0,-479.92E-3,1.7118E+3,1.3375E+0,-92.080E+0,-817.32E-3
218,364.91E+0,-521.65E-3,1.7118E+3,1.3246E+0,-103.86E+0,-845.42E-3
219,378.97E+0,-525.41E-3,1.7118E+3,1.3516E+0,-76.723E+0,-776.82E-3
220,372.00E+0,-581.74E-3,1.7118E+3,1.3423E+0,-89.490E+0,-810.09E-3
221,387.66E+0,-587.59E-3,1.7118E+3,1.3705E+0,-61.675E+0,-746.25E-3
222,381.00E+0,-621.81E-3,1.7118E+3,1.3583E+0,-73.763E+0,-768.77E-3
223,398.26E+0,-631.41E-3,1.7118E+3,1.3684E+0,-46.009E+0,-713.60E-3
224,389.82E+0,-646.85E-3,1.7118E+3,1.3601E+0,-58.529E+0,-739.02E-3
225,409.42E+0,-650.39E-3,1.7118E+3,1.3614E+0,-30.714E+0,-691.08E-3
226,400.55E+0,-657.28E-3,1.7118E+3,1.3529E+0,-42.555E+0,-710.71E-3
227,419.84E+0,-648.10E-3,1.7118E+3,1.3450E+0,-14.247E+0,-672.08E-3
228,411.09E+0,-658.74E-3,1.7118E+3,1.3255E+0,-26.828E+0,-691.08E-3
229,432.23E+0,-647.89E-3,1.7118E+3,1.3192E+0,3.6388E+0,-644.19E-3
230,421.44E+0,-657.28E-3,1.7118E+3,1.2989E+0,-10.916E+0,-671.25E-3
231,441.91E+0,-654.57E-3,1.7118E+3,1.2927E+0,19.119E+0,-611.13E-3
